state,year,date,attendance,prec,scaled_prec,scaled_att
NY,2010,2010-08-31,62036,1.54,0.06669553919445648,0.4625582522462066
NY,2010,2010-09-01,97254,0.61,0.026418362927674317,0.7251537859299855
NY,2010,2010-09-03,78271,4.03,0.17453443048938935,0.5836110800432465
NY,2010,2010-09-04,95234,6.96,0.3014291901255955,0.7100920851508035
NY,2011,2011-08-25,51896,0.72,0.031182330012992636,0.3869514968497185
NY,2011,2011-08-27,105137,4.23,0.18319618882633176,0.7839317004063676
NY,2011,2011-08-31,90865,0.84,0.036379385015158076,0.6775155650001864
NY,2011,2011-09-01,72108,2.71,0.11736682546556951,0.5376579800917123
NY,2012,2012-08-27,53454,18.99,0.8224339540926807,0.3985683927972263
NY,2012,2012-09-02,103197,12.52,0.5422260718925942,0.7694665026283414
NY,2012,2012-09-03,70605,0.28,0.01212646167171936,0.5264511799574991
NY,2013,2013-08-22,41923,13.09,0.56691208315288,0.312589941468143
NY,2013,2013-08-25,83057,0.97,0.042009527934170635,0.6192968720873877
NY,2013,2013-08-26,81098,19.86,0.8601126028583802,0.6046900048465869
NY,2013,2013-08-30,76719,6.11,0.2646167171935903,0.5720389218208254
NY,2013,2013-09-01,86168,16.44,0.7119965352966653,0.6424933825448309
NY,2013,2013-09-02,60891,0.41,0.017756604590731917,0.4540208030421653
NY,2014,2014-08-21,46094,13.22,0.5725422260718926,0.3436901166908996
NY,2014,2014-08-22,68038,3.22,0.13945430922477264,0.5073108899079148
NY,2014,2014-08-23,80652,0.43,0.01862278042442616,0.6013645006151437
NY,2014,2014-08-26,63660,0.18,0.007795582503248159,0.47466726316966784
NY,2014,2014-08-30,120617,3.04,0.13165872672152448,0.8993550311300004
NY,2015,2015-08-27,62136,1.08,0.04677349501948896,0.4633038809976513
NY,2015,2015-08-31,68827,0.86,0.03724556084885232,0.5131939007568131
NY,2015,2015-09-01,58029,14.62,0.6331745344304893,0.4326809081758193
NY,2015,2015-09-02,57576,0.35,0.015158077089649198,0.42930320993177495
NY,2015,2015-09-03,66447,16.04,0.6946730186227804,0.49544793647243035
NY,2015,2015-09-05,93576,17.85,0.7730619315721092,0.697729560451851
NY,2016,2016-08-25,68292,2.07,0.08964919878735382,0.5092047869365842
NY,2016,2016-08-31,63465,1.48,0.06409701169337376,0.47321328710435073
NY,2016,2016-09-01,90036,1.43,0.061931572109138154,0.6713343026507103
NY,2016,2016-09-03,121164,0.47,0.020355132091814637,0.9034336204004026
NY,2016,2016-09-04,117717,0.25,0.010827197921177999,0.8777317973381054
NY,2017,2017-08-23,67974,1.22,0.05283672585534863,0.5068336875069903
NY,2017,2017-08-24,64642,0.02,0.00086617583369424,0.48198933750885437
NY,2017,2017-08-31,75253,4.08,0.17669987007362495,0.5611080043246468
NY,2017,2017-09-01,97632,3.25,0.140753572975314,0.7279722626104462
NY,2017,2017-09-02,121203,0.13,0.00563014291901256,0.9037244156134661
NY,2018,2018-08-22,73596,3.24,0.14032048505846687,0.5487529359132088
NY,2018,2018-08-23,86353,0.75,0.032481593763533996,0.6438727957350036
NY,2018,2018-08-26,101590,1.21,0.052403637938501516,0.7574842485926258
NY,2018,2018-08-29,58477,12.89,0.5582503248159376,0.4360213249822913
NY,2018,2018-08-30,112409,0.12,0.00519705500216544,0.8381538232114231
NY,2018,2018-08-31,105886,1.2,0.05197055002165439,0.7895164597546881
NY,2018,2018-09-02,96426,1.15,0.049805110437418795,0.7189799798680238
