state,year,date,attendance
MN,2018,23/08/2018,122695
MN,2018,24/08/2018,108059
MN,2018,25/08/2018,222194
MN,2018,26/08/2018,184715
MN,2018,27/08/2018,124438
MN,2018,28/08/2018,120209
MN,2018,29/08/2018,144940
MN,2018,30/08/2018,156764
MN,2018,31/08/2018,179402
MN,2018,01/09/2018,270426
MN,2018,02/09/2018,241102
MN,2018,03/09/2018,171588
MN,2019,22/08/2019,133326
MN,2019,23/08/2019,157224
MN,2019,24/08/2019,209105
MN,2019,25/08/2019,191524
MN,2019,26/08/2019,96716
MN,2019,27/08/2019,136987
MN,2019,28/08/2019,142211
MN,2019,29/08/2019,153274
MN,2019,30/08/2019,209789
MN,2019,31/08/2019,266412
MN,2019,01/09/2019,245243
MN,2019,02/09/2019,184740
MN,2021,26/08/2021,61983
MN,2021,27/08/2021,77406
MN,2021,28/08/2021,129984
MN,2021,29/08/2021,149247
MN,2021,30/08/2021,91568
MN,2021,31/08/2021,89618
MN,2021,01/09/2021,88027
MN,2021,02/09/2021,80778
MN,2021,03/09/2021,102020
MN,2021,04/09/2021,153953
MN,2021,05/09/2021,153422
MN,2021,06/09/2021,123578
NC,2015,15/10/2015,50327
NC,2015,16/10/2015,90954
NC,2015,17/10/2015,126666
NC,2015,18/10/2015,97906
NC,2015,19/10/2015,63989
NC,2015,20/10/2015,69687
NC,2015,21/10/2015,71348
NC,2015,22/10/2015,104887
NC,2015,23/10/2015,95685
NC,2015,24/10/2015,140886
NC,2015,25/10/2015,107397
NC,2016,13/10/2016,40449
NC,2016,14/10/2016,78364
NC,2016,15/10/2016,119117
NC,2016,16/10/2016,109429
NC,2016,17/10/2016,75243
NC,2016,18/10/2016,75995
NC,2016,19/10/2016,72654
NC,2016,20/10/2016,104852
NC,2016,21/10/2016,85473
NC,2016,22/10/2016,150747
NC,2016,23/10/2016,116041
NC,2017,12/10/2017,57083
NC,2017,13/10/2017,71211
NC,2017,14/10/2017,113291
NC,2017,15/10/2017,99148
NC,2017,16/10/2017,55041
NC,2017,17/10/2017,76844
NC,2017,18/10/2017,75041
NC,2017,19/10/2017,104409
NC,2017,20/10/2017,100516
NC,2017,21/10/2017,148424
NC,2017,22/10/2017,113470
NC,2018,12/10/2018,78275
NC,2018,13/10/2018,123303
